Organization,Email
"Österreichische Galerie Belvedere, Wissenschaftliche Anstalt öffentlichen Rechts",katharina.trettnak-hahnl@kwr.at
regioL Regionalmanagement Bezirk Landeck,info@regiol.at
Gemeinde Tschagguns,gemeinde@tschagguns.at
Gemeinde Kappl,vizebuergermeister@kappl.tirol.gv.at
Marktgemeinde Bad Zell,gemeinde@bad-zell.ooe.gv.at
„Wiener Frauenhäuser“ – soziale Hilfen  für von Gewalt betroffene Frauen und ihre Kinder,
Tourismusverband Serfaus-Fiss-Ladis,k.lentsch@serfaus-fiss-ladis.at
A.ö. Bezirkskrankenhaus Kufstein,office@mtpgmbh.at
Technische Universität Graz,e-vergabe@tugraz.at
"Universität Innsbruck, Abteilung Budget und Controlling","Wolfgang.Lentsch@uibk.ac.at, Yesim.Eraslan@uibk.ac.at"
Regionalmanagement Landeck,info@regiol.at
FF Wr. Neustadt,
Marktgemeinde Schwadorf,
Gemeinde Wildermieming,info@kanzleigstrein.at
Gemeinde Gschwandt,gemeinde@gschwandt.ooe.gv.at
Gemeindeverband für Abgabeneinhebung und Umweltschutz im Bezirk Krems,
Gemeinde Zeiselmauer-Wolfpassing,gemeinde@zeiselmauer.gv.at
"Österreichische Galerie Belvedere, Wissenschaftliche Anstalt öffentlichen Rechts",
Gemeinde Schlierbach,al@schlierbach.at
Medizinische Universität Innsbruck,"Wolfgang.Lentsch@uibk.ac.at, Yesim.Eraslan@uibk.ac.at"
Stadtgemeinde Traun,
itworks Personalservice & Beratung gGmbH,
